Genome ID	Source ID	Source	Host	Function	Reference Name	Reference Accession	Reference Phylum	Reference Order	Reference Genus	Reference Name	CheckM Marker lineage	CheckM genomes	CheckM markers	Completeness	Contamination	Strain heterogeneity	QS	gtdb classification	gtdb Phylum	closest_genome_reference	closest_genome_reference_radius	closest_genome_ani	closest_placement_reference	classification_method	note
GISB0020	RISB2516	Literature Record	Drosophila simulans	induces very strong cytoplasmic incompatibility in its natural host Drosophila simulans	Wolbachia wRi	CP001391.1	Pseudomonadota	Rickettsiales	Wolbachia	Wolbachia wRi	o__Rickettsiales (UID3811)	63	368	99.36	0	0	99.36	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Anaplasmataceae;g__Wolbachia;s__Wolbachia pipientis	p__Pseudomonadota	GCF_021378375.1	95	97.3	GCF_021378375.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0021	RISB2513	Literature Record	Periplaneta americana	can recycle nitrogen from urea and ammonia, which are uric acid degradation products, into glutamate, using urease and glutamate dehydrogenase	Blattabacterium str. BPLAN	CP001429.2	Bacteroidota	Flavobacteriales	Blattabacterium	Blattabacterium str. BPLAN	k__Bacteria (UID2565)	2921	143	97.62	0	0	97.62	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales_B;f__Blattabacteriaceae;g__Blattabacterium;s__Blattabacterium sp000334405	p__Bacteroidota	GCF_000334405.1	95	97.28	GCF_000334405.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0022	RISB2504	Literature Record	Blattella germanica	codes for the complete urea cycle that, in combination with urease, produces ammonia as an end product	Blattabacterium strain Bge	CP001487.1	Bacteroidota	Flavobacteriales	Blattabacterium	Blattabacterium strain Bge	k__Bacteria (UID2565)	2921	143	98.82	0	0	98.82	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales_B;f__Blattabacteriaceae;g__Blattabacterium;s__Blattabacterium sp000022605	p__Bacteroidota	GCF_000022605.2	95	100	GCF_000022605.2	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0023	RISB2499	Literature Record	Cicadidae species	None	Candidatus Karelsulcia muelleri	CP001605.1	Bacteroidota	Flavobacteriales	Candidatus Karelsulcia	Candidatus Karelsulcia muelleri	k__Bacteria (UID2565)	2921	152	49.3	0	0	49.3	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales_B;f__Blattabacteriaceae;g__Sulcia;s__Sulcia muelleri	p__Bacteroidota	GCF_003214255.1	95	98.8	GCF_003214255.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0024	RISB1902	Literature Record	Bemisia tabaci	None	Rickettsia africae	CP001612.1	Pseudomonadota	Rickettsiales	Rickettsia	Rickettsia africae	g__Rickettsia (UID3817)	41	673	99.59	0.33	0	97.94	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Rickettsia;s__Rickettsia rickettsii	p__Pseudomonadota	GCF_001951015.1	95.84	98.23	GCF_001951015.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0025	RISB2365	Literature Record	Cinara tujafilina	the subfamily Lachninae harbors two coprimary bacteria that fulfill the metabolic needs of the whole consortium	Buchnera aphidicola	CP001817.1	Pseudomonadota	Enterobacterales	Buchnera	Buchnera aphidicola	k__Bacteria (UID2495)	2993	127	98.12	0	0	98.12	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae_A;g__Buchnera;s__Buchnera aphidicola_G	p__Pseudomonadota	GCF_000217635.1	95	100	GCF_000217635.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0026	RISB2376	Literature Record	termite	when grown together, two termite-gut Treponema species influence each other's gene expression in a far more comprehensive and nuanced manner than might have been predicted based on the results of previous studies on the respective pure cultures	Treponema azotonutricium (ZAS-9)	CP001841.1	Spirochaetota	Spirochaetales	Leadbettera	Treponema azotonutricium (ZAS-9)	k__Bacteria (UID2495)	2993	142	98.86	2.27	0	87.51	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__Leadbettera;s__Leadbettera azotonutricia	p__Spirochaetota	GCF_000214355.1	95	100	GCF_000214355.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0027	RISB2377	Literature Record	termite	when grown together, two termite-gut Treponema species influence each other's gene expression in a far more comprehensive and nuanced manner than might have been predicted based on the results of previous studies on the respective pure cultures	Treponema primitia (ZAS-2)	CP001843.1	Spirochaetota	Spirochaetales	Treponema	Treponema primitia (ZAS-2)	k__Bacteria (UID2495)	2993	142	98.86	1.14	0	93.16	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__Termitinema;s__Termitinema primitia	p__Spirochaetota	GCF_000214375.1	95	100	GCF_000214375.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0028	RISB2232	Literature Record	Planococcus citri	be responsible for the biosynthesis of most cellular components and energy provision, and controls most informational processes for the consortium	Candidatus Moranella endobia	CP002243.1	Pseudomonadota	Enterobacterales	Candidatus Moranella	Candidatus Moranella endobia	k__Bacteria (UID2495)	2993	136	88.75	0	0	88.75	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Moranella;s__Moranella endobia	p__Pseudomonadota	GCF_000219175.1	95	100	GCF_000219175.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0029	RISB2143	Literature Record	Pyrrhocoris apterus	None	Coriobacterium glomerans	CP002628.1	Actinomycetota	Coriobacteriales	Coriobacterium	Coriobacterium glomerans	p__Actinobacteria (UID2112)	31	211	100	0	0	100	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Coriobacterium;s__Coriobacterium glomerans	p__Actinomycetota	GCF_000195315.1	95	100	GCF_000195315.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0030	RISB2128	Literature Record	Myzus persicae	None	Buchnera aphidicola str. USDA	CP002697.1	Pseudomonadota	Enterobacterales	Buchnera	Buchnera aphidicola str. USDA	k__Bacteria (UID2495)	2993	137	100	0	0	100	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae_A;g__Buchnera;s__Buchnera aphidicola_C	p__Pseudomonadota	GCF_000521565.1	95	99.98	GCF_000521565.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0031	RISB2132	Literature Record	Myzus persicae	None	Buchnera aphidicola str. W1None6	CP002699.1	Pseudomonadota	Enterobacterales	Buchnera	Buchnera aphidicola str. W1None6	k__Bacteria (UID2495)	2993	137	100	0	0	100	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae_A;g__Buchnera;s__Buchnera aphidicola_C	p__Pseudomonadota	GCF_000521565.1	95	99.98	GCF_000521565.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0032	RISB2133	Literature Record	Myzus persicae	None	Buchnera aphidicola str. W1None6 pLeu	CP002700.1	Pseudomonadota	Enterobacterales	Buchnera	Buchnera aphidicola str. W1None6 pLeu	root (UID1)	5656	56	0	0	0	0	Unclassified	None	None	None	None	None	None	None
GISB0033	RISB2135	Literature Record	Myzus persicae	None	Buchnera aphidicola str. GNoneNone2	CP002701.1	Pseudomonadota	Enterobacterales	Buchnera	Buchnera aphidicola str. GNoneNone2	k__Bacteria (UID2495)	2993	137	100	0	0	100	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae_A;g__Buchnera;s__Buchnera aphidicola_C	p__Pseudomonadota	GCF_000521565.1	95	100	GCF_000521565.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0034	RISB2138	Literature Record	Myzus persicae	None	Buchnera aphidicola str. FNoneNone9	CP002703.1	Pseudomonadota	Enterobacterales	Buchnera	Buchnera aphidicola str. FNoneNone9	k__Bacteria (UID2495)	2993	137	100	0	0	100	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae_A;g__Buchnera;s__Buchnera aphidicola_C	p__Pseudomonadota	GCF_000521565.1	95	99.98	GCF_000521565.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0035	RISB1764	Literature Record	Spodoptera frugiperda	may influence the metabolization of pesticides in insects	Pseudomonas stutzeri	CP002881.1	Pseudomonadota	Pseudomonadales	Pseudomonas	Pseudomonas stutzeri	c__Gammaproteobacteria (UID4445)	228	583	99.86	0.55	0	97.11	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Stutzerimonas;s__Stutzerimonas stutzeri	p__Pseudomonadota	GCF_000219605.1	95	100	GCF_000219605.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0036	RISB2336	Literature Record	Sirex noctilio	degrading woody substrates and that such degradation may assist in nutrient acquisition by S. noctilio, thus contributing to its ability to be established in forested habitats worldwide	Streptomyces sp. ACTE	CP002993.1	Actinomycetota	Kitasatosporales	Streptomyces	Streptomyces sp. ACTE	g__Streptomyces (UID2055)	49	577	99.93	0	0	99.93	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp000177195	p__Actinomycetota	GCF_000177195.2	95	100	GCF_000177195.2	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0037	RISB2258	Literature Record	Aphytis melinus	can provision essential amino acids without a reciprocal bacterial partner	Candidatus Uzinura diaspidicola	CP003263.1	Bacteroidota	Flavobacteriales	None	Candidatus Uzinura diaspidicola	k__Bacteria (UID2565)	2921	152	55.75	0	0	55.75	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales_B;f__Blattabacteriaceae;g__Uzinura;s__Uzinura diaspidicola	p__Bacteroidota	GCA_000331975.1	95	100	GCA_000331975.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0038	RISB1899	Literature Record	Bemisia tabaci	None	Rickettsia canadensis str. CA41None	CP003304.1	Pseudomonadota	Rickettsiales	Rickettsia	Rickettsia canadensis str. CA41None	o__Rickettsiales (UID3809)	83	324	100	0	0	100	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Rickettsia;s__Rickettsia canadensis	p__Pseudomonadota	GCF_000014345.1	95	98.97	GCF_000014345.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0039	RISB1905	Literature Record	Bemisia tabaci	None	Rickettsia prowazekii	CP003393.1	Pseudomonadota	Rickettsiales	Rickettsia	Rickettsia prowazekii	g__Rickettsia (UID3815)	43	662	99.59	0.33	0	97.94	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Rickettsia;s__Rickettsia prowazekii	p__Pseudomonadota	GCF_000367405.1	95	99.97	GCF_000367405.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0040	RISB2144	Literature Record	Diaphorina citri	a putative nutrition provider	Candidatus DC	CP003467.1	Pseudomonadota	Oceanospirillales	Candidatus Carsonella	Candidatus DC	k__Bacteria (UID2495)	2993	147	20.32	0	0	20.32	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae_A;g__Zinderia;s__	p__Pseudomonadota	None	None	None	None	taxonomic novelty determined using RED	classification based on placement in class-level tree
GISB0041	RISB2146	Literature Record	Diaphorina citri	encoded horizontally acquired genes for synthesizing a novel polyketide toxin, providing defense against natural enemies	Candidatus Profftella armatura	CP003468.1	Pseudomonadota	None	Candidatus Profftella	Candidatus Profftella armatura	o__Burkholderiales (UID4002)	107	574	33.47	0	0	33.47	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__Profftella;s__Profftella armatura	p__Pseudomonadota	GCF_000441555.1	95	100	GCF_000441555.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0042	RISB2141	Literature Record	Blatta orientalis	None	Blattabacterium cuenoti	CP003605.1	Bacteroidota	Flavobacteriales	Blattabacterium	Blattabacterium cuenoti	k__Bacteria (UID2565)	2921	143	97.62	0	0	97.62	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales_B;f__Blattabacteriaceae;g__Blattabacterium;s__Blattabacterium sp000334405	p__Bacteroidota	GCF_000334405.1	95	100	GCF_000334405.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0043	RISB2289	Literature Record	Bemisia tabaci	encoding the capability to synthetize, or participate in the synthesis of, several amino acids and carotenoids,	Candidatus Portiera aleyrodidarum	CP003835.1	Pseudomonadota	Oceanospirillales	Candidatus Portiera	Candidatus Portiera aleyrodidarum	c__Gammaproteobacteria (UID4444)	263	507	18.92	0	0	18.92	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Johnevansiaceae;g__Portiera;s__Portiera aleyrodidarum	p__Pseudomonadota	GCF_000300075.1	95	99.73	GCF_000300075.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0044	RISB2123	Literature Record	Pineus strobi	None	Candidatus Hartigia pinicola WQ	CP003867.1	Pseudomonadota	Enterobacterales	Candidatus Hartigia	Candidatus Hartigia pinicola WQ	c__Gammaproteobacteria (UID4444)	263	507	18.24	0	0	18.24	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Johnevansiaceae;g__Portiera;s__Portiera aleyrodidarum	p__Pseudomonadota	GCF_000300075.1	95	99.78	GCF_000300075.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0045	RISB2142	Literature Record	Bemisia tabaci	None	Candidatus Portiera aleyrodidarum WB	CP003868.1	Pseudomonadota	Oceanospirillales	Candidatus Portiera	Candidatus Portiera aleyrodidarum WB	c__Gammaproteobacteria (UID4444)	263	507	18.13	0	0	18.13	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Johnevansiaceae;g__Portiera;s__Portiera aleyrodidarum	p__Pseudomonadota	GCF_000300075.1	95	100	GCF_000300075.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0046	RISB2232	Literature Record	Planococcus citri	be responsible for the biosynthesis of most cellular components and energy provision, and controls most informational processes for the consortium	Candidatus Moranella endobia	CP003881.1	Pseudomonadota	Enterobacterales	Candidatus Moranella	Candidatus Moranella endobia	k__Bacteria (UID2495)	2993	136	88.75	0	0	88.75	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Moranella;s__Moranella endobia	p__Pseudomonadota	GCF_000219175.1	95	99.95	GCF_000219175.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0047	RISB2229	Literature Record	Planococcus citri	Multiple horizontal gene transfer events to whiteflies by a triple nested parasitized symbiotic bacterium	Candidatus Tremblaya princeps	CP003982.1	Pseudomonadota	None	Candidatus Tremblaya	Candidatus Tremblaya princeps	p__Proteobacteria (UID3214)	2231	190	29.17	0	0	29.17	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae_A;g__Tremblaya;s__	p__Pseudomonadota	None	None	None	None	taxonomic novelty determined using RED	classification based on placement in class-level tree
GISB0048	RISB2074	Literature Record	Llaveia axin axin	may provide metabolic precursors to the flavobacterial endosymbiont	Candidatus Walczuchella monophlebidarum	CP006873.1	Bacteroidota	Flavobacteriales	Candidatus Walczuchella	Candidatus Walczuchella monophlebidarum	k__Bacteria (UID2565)	2921	152	67.38	0	0	67.38	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales_B;f__Blattabacteriaceae;g__Walczuchella;s__Walczuchella monophlebidarum	p__Bacteroidota	GCF_000709555.1	95	100	GCF_000709555.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0049	RISB1973	Literature Record	Bemisia tabaci	a primary symbiont, which compensates for the deficient nutritional composition of its food sources	Candidatus Portiera aleyrodidarum	CP007563.1	Pseudomonadota	Oceanospirillales	Candidatus Portiera	Candidatus Portiera aleyrodidarum	c__Gammaproteobacteria (UID4444)	263	507	18.89	0	0	18.89	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Johnevansiaceae;g__Portiera;s__Portiera aleyrodidarum	p__Pseudomonadota	GCF_000300075.1	95	99.73	GCF_000300075.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB0050	RISB2060	Literature Record	Graphocephala atropunctata	retains genes including cell envelope biogenesis, cellular replication, and stress response	Candidatus Baumannia cicadellinicola strain BGSS	CP008985.1	Pseudomonadota	None	Candidatus Palibaumannia	Candidatus Baumannia cicadellinicola strain BGSS	k__Bacteria (UID2495)	2993	136	99.58	0	0	99.58	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Baumannia;s__Baumannia cicadellinicola_B	p__Pseudomonadota	GCF_000754265.1	95	100	GCF_000754265.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
